,question,qtype,qtype_coarse,qtype_fine
342,"Where can I buy movies on videotape online ?
",LOC:other,LOC,other
343,"Who does the advertizing for Frito-Lay ?
",HUM:ind,HUM,ind
344,"Who is the leading competitor of Trans Union Company ?
",HUM:gr,HUM,gr
345,"What product did Robert Conrad dare people to knock off his shoulder ?
",ENTY:product,ENTY,product
346,"Who invented the radio ?
",HUM:ind,HUM,ind
347,"What 's the American dollar equivalent for 8 pounds in the U.K. ?
",NUM:count,NUM,count
348,"What are the different approaches of systems analysis ?
",ENTY:techmeth,ENTY,techmeth
349,"How do doctors diagnose bone cancer ?
",DESC:manner,DESC,manner
350,"Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?
",HUM:ind,HUM,ind
351,"What is the speed of the Mississippi River ?
",NUM:speed,NUM,speed
352,"What are the developmental stages of a swimmer ?
",ENTY:other,ENTY,other
353,"What actor first portrayed James Bond ?
",HUM:ind,HUM,ind
354,"What ocean is the largest in the world ?
",LOC:other,LOC,other
355,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?
",HUM:ind,HUM,ind
356,"What year did Jack Nicklaus join the Professional Golfers Association tour ?
",NUM:date,NUM,date
357,"How many sonnets did Shakespeare write ?
",NUM:count,NUM,count
358,"What causes the redness in your cheeks when you blush ?
",DESC:reason,DESC,reason
359,"Who won the Nobel Peace Prize in 1991 ?
",HUM:ind,HUM,ind
360,"Who are the Challengers of the Unknown ?
",HUM:gr,HUM,gr
361,"Define the Pheonix Club ?
",DESC:def,DESC,def
362,"Which city did Christian Crusaders fight to recapture from the Muslims ?
",LOC:city,LOC,city
363,"What does it mean `` Rupee Depreciates '' ?
",DESC:def,DESC,def
364,"What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?
",ENTY:other,ENTY,other
365,"Who was the first coach of the Cleveland Browns ?
",HUM:ind,HUM,ind
366,"How successful is arometherapy ?
",DESC:manner,DESC,manner
367,"What Jewish holiday saw the start of the 1973 Mideast War ?
",ENTY:event,ENTY,event
368,"How does a copier work ?
",DESC:manner,DESC,manner
369,"What is the speed of the Mississippi River ?
",NUM:speed,NUM,speed
370,"Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?
",HUM:ind,HUM,ind
371,"What is Dudley Do-Right 's horse 's name ?
",ENTY:animal,ENTY,animal
372,"Who declared : `` I am down on whores and I shan 't stop ripping them '' ?
",HUM:ind,HUM,ind
373,"Where does chocolate come from ?
",LOC:other,LOC,other
374,"What TV game show once saw a contestant admit to picking his toes in the shower ?
",ENTY:cremat,ENTY,cremat
375,"What Soviet leader owned a Rolls-Royce ?
",HUM:ind,HUM,ind
376,"Where can I find a case on Individuals with Disabilities Education Act of 1991 ?
",LOC:other,LOC,other
377,"What war did Florence Nightingale tend the troops in ?
",ENTY:event,ENTY,event
378,"Who wrote the song , `` Stardust '' ?
",HUM:ind,HUM,ind
379,"How many Beatles ' records went #1 ?
",NUM:count,NUM,count
380,"Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?
",HUM:ind,HUM,ind
381,"What is the abbreviation of the company name ` General Motors ' ?
",ABBR:abb,ABBR,abb
382,"What mountains lie between the Arkansas and Missouri rivers ?
",LOC:mount,LOC,mount
383,"Who received the Will Rogers Award in 1989 ?
",HUM:ind,HUM,ind
384,"What is the function of RAM ?
",DESC:reason,DESC,reason
385,"What 's the closest G2 Spectrum Yellow Dwarf to Earth ?
",LOC:other,LOC,other
386,"How many equal angles are there in an isosceles triangle ?
",NUM:count,NUM,count
387,"What is the fear of cockroaches called ?
",ENTY:dismed,ENTY,dismed
388,"What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?
",ENTY:cremat,ENTY,cremat
389,"What is the use of a 24-hour clock instead of a 12-hour clock ?
",DESC:desc,DESC,desc
390,"What was the name of the lawyer who represented Randy Craft ?
",HUM:ind,HUM,ind
391,"What United States President had dreamed that he was assassinated ?
",HUM:ind,HUM,ind
392,"What film did Lee Marvin win the 1965 best actor Oscar for ?
",ENTY:cremat,ENTY,cremat
393,"Where is Basque country located ?
",LOC:other,LOC,other
394,"What product does `` Mrs. Olsen '' promote ?
",ENTY:product,ENTY,product
395,"What time of day did Emperor Hirohito die ?
",NUM:date,NUM,date
396,"What is dry ice ?
",DESC:def,DESC,def
397,"What 's the most powerful card in Euchre ?
",ENTY:other,ENTY,other
398,"What does `` intractable plantar keratoma '' mean ?
",DESC:def,DESC,def
399,"How many years did it take James Joyce to write Ulysses ?
",NUM:count,NUM,count
400,"What crop failure caused the Irish Famine ?
",ENTY:food,ENTY,food
401,"What South Korean city is served by Kimpo International Airport ?
",LOC:city,LOC,city
402,"How many types of dogs ' tails are there - three
",NUM:count,NUM,count
403,"What is the longest-running television series ?
",ENTY:cremat,ENTY,cremat
404,"What predators exist on Antarctica ?
",ENTY:animal,ENTY,animal
405,"What is the difference between a generator and an alternator ?
",DESC:desc,DESC,desc
406,"How is energy created ?
",DESC:manner,DESC,manner
407,"What beer advertised that it had `` three rings '' ?
",ENTY:food,ENTY,food
408,"What is the quantity of American soldiers still unaccounted for from the Vietnam war ?
",NUM:other,NUM,other
409,"What golfing accessory was patented by George Grant on December 12
",ENTY:techmeth,ENTY,techmeth
410,"What are the different types of plastic ?
",ENTY:other,ENTY,other
411,"How is it correct to say ` qigong ' ?
",DESC:manner,DESC,manner
412,"What was the highest mountain on earth before Mount Everest was discovered ?
",LOC:mount,LOC,mount
413,"Where was the Ligurian Republic , 1797-185 , ?
",LOC:other,LOC,other
414,"What country 's people are the top television watchers ?
",LOC:country,LOC,country
415,"When was the women 's suffrage amendment ratified ?
",NUM:date,NUM,date
416,"What Polynesian people inhabit New Zealand ?
",HUM:gr,HUM,gr
417,"What movie tour of the Roman empire features the admonition : `` Row well and live '' ?
",ENTY:cremat,ENTY,cremat
418,"What Nevada center has been dubbed The Biggest Little City in the World ?
",LOC:city,LOC,city
419,"What President lived at 219 North Delaware Street , Independence , Missouri ?
",HUM:ind,HUM,ind
420,"Give a reason for American Indians oftentimes dropping out of school .
",DESC:reason,DESC,reason
421,"Where must a soccer goalie stand to be permitted to handle the ball ?
",LOC:other,LOC,other
422,"What is the difference between classical conditioning and operant conditioning ?
",DESC:desc,DESC,desc
423,"In what U.S. state was the first woman governor elected ?
",LOC:state,LOC,state
424,"What are some interesting facts and information about dogsledding ?
",DESC:desc,DESC,desc
425,"What year did Hitler die ?
",NUM:date,NUM,date
426,"What famous model was married to Billy Joel ?
",HUM:ind,HUM,ind
427,"What kind of animal is Babar ?
",ENTY:animal,ENTY,animal
428,"What is Jane Goodall known for ?
",DESC:reason,DESC,reason
429,"What killed Bob Marley ?
",ENTY:other,ENTY,other
430,"How much money are Dumbo 's ears insured for ?
",NUM:money,NUM,money
431,"Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?
",HUM:ind,HUM,ind
432,"Who is Stein Eriksen ?
",HUM:desc,HUM,desc
433,"What does the name Billie mean ?
",DESC:def,DESC,def
434,"Who is the fastest swimmer in the world ?
",HUM:ind,HUM,ind
435,"What is the highest peak in Africa ?
",LOC:mount,LOC,mount
436,"Where is Procter & Gamble headquartered in the U.S. ?
",LOC:other,LOC,other
437,"What desert has been called The Garden of Allah ?
",LOC:other,LOC,other
438,"What do bicornate animals have two of ?
",ENTY:other,ENTY,other
439,"What function does a community 's water tower serve ?
",DESC:reason,DESC,reason
440,"What is a fear of weakness ?
",ENTY:dismed,ENTY,dismed
441,"How many miles is it to Ohio from North Carolina ?
",NUM:count,NUM,count
442,"How much snow equals an inch of rain ?
",NUM:count,NUM,count
443,"What does G.M.T. stand for ?
",ABBR:exp,ABBR,exp
444,"What does Inuit and Eskimo mean ?
",DESC:def,DESC,def
445,"What song served as the closing theme of The Johnny Cash Show ?
",ENTY:cremat,ENTY,cremat
446,"What field sport did dentist William Beers promote and write a standard book of rules for ?
",ENTY:sport,ENTY,sport
447,"How do I tie dye clothes ?
",DESC:manner,DESC,manner
448,"When does the average teenager first have intercourse ?
",NUM:date,NUM,date
449,"Why doesn 't www.answers.com have any answers to my questions ?
",DESC:reason,DESC,reason
450,"What actor 's autobiography is titled All My Yesterdays ?
",HUM:ind,HUM,ind
451,"What Russian master spy lived in the U.S. under the name Emil Goldfus ?
",HUM:ind,HUM,ind
452,"Where 's the 19th hole on a golf course ?
",LOC:other,LOC,other
453,"What 's nature 's purpose for tornadoes ?
",DESC:reason,DESC,reason
454,"Who played the original Charlie 's Angels ?
",HUM:ind,HUM,ind
455,"Where can I find a person 's address from a telephone number ?
",LOC:other,LOC,other
456,"What English word comes from the Old French covrefeu , meaning cover fire ?
",ENTY:word,ENTY,word
457,"What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?
",ENTY:instru,ENTY,instru
458,"Where did Sarge Steel get his metal hand ?
",LOC:other,LOC,other
459,"What makes popcorn pop ?
",DESC:reason,DESC,reason
460,"Who wrote The Night of the Iguana ?
",HUM:ind,HUM,ind
461,"Where does your hair grow the fastest ?
",ENTY:body,ENTY,body
462,"What country did King Gustav V reign over from 197 to 195 ?
",LOC:country,LOC,country
463,"Who painted Mother and Child ?
",HUM:ind,HUM,ind
464,"What is the speed of the Mississippi River ?
",NUM:speed,NUM,speed
465,"In what area of the world was the Six Day War fought ?
",LOC:other,LOC,other
466,"What is the brightest star visible from Earth ?
",LOC:other,LOC,other
467,"What film marked Robert Redford 's directorial debut ?
",ENTY:cremat,ENTY,cremat
468,"What was Mao 's second name ?
",HUM:ind,HUM,ind
469,"What film or films has Jude Law appeared in ?
",ENTY:cremat,ENTY,cremat
470,"Where do hyenas live ?
",LOC:other,LOC,other
471,"Who is the `` Queen Mother '' ?
",HUM:desc,HUM,desc
472,"What 's the most commonly-spoken language in Belgium ?
",ENTY:lang,ENTY,lang
473,"Who has more DNA - a man or a woman ?
",HUM:ind,HUM,ind
474,"What are Maid-Rites ?
",DESC:def,DESC,def
475,"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?
",ENTY:cremat,ENTY,cremat
476,"What level of government or governmental agency is responsible for dealing with racism ?
",HUM:gr,HUM,gr
477,"How many referees work a soccer game ?
",NUM:count,NUM,count
478,"What cocktail do you concoct with whisky and sweet vermouth ?
",ENTY:food,ENTY,food
479,"How do you say `` fresh '' in Spanish ?
",ENTY:termeq,ENTY,termeq
480,"What do bee hives do in cranberry bogs ?
",DESC:desc,DESC,desc
481,"What caused the Lynmouth floods ?
",DESC:reason,DESC,reason
482,"When is the Tulip Festival in Michigan ?
",NUM:date,NUM,date
483,"Who came up with the name , El Nino ?
",HUM:ind,HUM,ind
484,"What movie did Madilyn Kahn star in with Gene Wilder ?
",ENTY:cremat,ENTY,cremat
485,"What type of bridge is the Golden Gate Bridge ?
",ENTY:other,ENTY,other
486,"What dictator has the nickname `` El Maximo '' ?
",HUM:ind,HUM,ind
487,"What stereo manufacturer is `` Slightly ahead of its time '' ?
",HUM:gr,HUM,gr
488,"What U.S. city is The Queen of the Pacific ?
",LOC:city,LOC,city
489,"What TV sitcom character had the maiden name Ethel Potter ?
",HUM:ind,HUM,ind
490,"What was the first Lifesaver flavor ?
",ENTY:food,ENTY,food
491,"Who kept the most famous diary in the English language ?
",HUM:ind,HUM,ind
492,"Where can I find out the top 1 singles ?
",LOC:other,LOC,other
493,"How many degrees cooler is the inside of a cucumber than the air outside ?
",NUM:count,NUM,count
494,"What Spanish artist painted Crucifixion ?
",HUM:ind,HUM,ind
495,"What is the Jewish bible called ?
",ENTY:cremat,ENTY,cremat
496,"Why is the grass green ?
",DESC:reason,DESC,reason
497,"What is a firewall ?
",DESC:def,DESC,def
498,"What spy novelist served as Moscow correspondent for Reuter and The Times of London ?
",HUM:ind,HUM,ind
499,"Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?
",HUM:gr,HUM,gr
500,"How long does it take for Spider-Man 's web to evaporate ?
",NUM:period,NUM,period
501,"Who was Randy Steven Craft 's lawyer ?
",HUM:ind,HUM,ind
502,"What was known as the Spice Island ?
",LOC:other,LOC,other
503,"Who was the first host of Person to Person ?
",HUM:ind,HUM,ind
504,"Name the Ranger who was always after Yogi Bear .
",HUM:ind,HUM,ind
505,"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?
",ENTY:other,ENTY,other
506,"What does the Statue of Liberty wear on her feet ?
",ENTY:other,ENTY,other
507,"Who is the superstar in rent-a-cars ?
",HUM:ind,HUM,ind
508,"McCarren Airport is located in what city ?
",LOC:city,LOC,city
509,"What household facility contains a float ball , ballcock , and overflow tube ?
",ENTY:other,ENTY,other
510,"What was the name of Betty Boop 's dog ?
",ENTY:animal,ENTY,animal
511,"What fraction of a beaver 's life is spent swimming ?
",NUM:perc,NUM,perc
512,"What was the Bridge of San Luis Rey made of ?
",ENTY:substance,ENTY,substance
513,"What do economists do ?
",DESC:desc,DESC,desc
514,"What country has the largest sheep population ?
",LOC:country,LOC,country
515,"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?
",DESC:desc,DESC,desc
516,"What country is the world 's largest importer of cognac ?
",LOC:country,LOC,country
517,"How many years is Johnnie Walker Black Label aged ?
",NUM:count,NUM,count
518,"What does SIDS stand for ?
",ABBR:exp,ABBR,exp
519,"What is Grenada 's main commodity export ?
",ENTY:other,ENTY,other
520,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?
",NUM:money,NUM,money
521,"What makes a clitoris sensitive ?
",DESC:reason,DESC,reason
522,"What country has the most time zones , with 11 ?
",LOC:country,LOC,country
523,"What `` magic '' does Mandrake employ ?
",ENTY:other,ENTY,other
524,"Who is the president of Stanford University ?
",HUM:ind,HUM,ind
525,"Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?
",HUM:ind,HUM,ind
526,"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?
",ENTY:other,ENTY,other
527,"What city is Logan Airport in ?
",LOC:city,LOC,city
528,"What is a nanometer ?
",DESC:def,DESC,def
529,"How many innings are there in a regulation softball game ?
",NUM:count,NUM,count
530,"When did CNN go on the air ?
",NUM:date,NUM,date
531,"What is the largest city on the Great Lakes ?
",LOC:city,LOC,city
532,"What is the telephone number for the University of Kentucky ?
",NUM:code,NUM,code
533,"Who invented baseball ?
",HUM:ind,HUM,ind
534,"How many wives did Brigham Young have ?
",NUM:count,NUM,count
535,"What product on the market is good for hiding facial scars ?
",ENTY:product,ENTY,product
536,"How long is the Coney Island boardwalk ?
",NUM:dist,NUM,dist
537,"What city gained renown for its pea-soup fogs ?
",LOC:city,LOC,city
538,"What does `` Janelle '' mean ?
",DESC:def,DESC,def
539,"How do I get another city 's newspaper ?
",DESC:manner,DESC,manner
540,"Name a movie about the Sioux Indians starring Kevin Costner .
",ENTY:cremat,ENTY,cremat
541,"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?
",HUM:ind,HUM,ind
542,"What are the distinct physical characterstics of the Arabian horse ?
",DESC:desc,DESC,desc
543,"What is a fear of thunder ?
",ENTY:dismed,ENTY,dismed
544,"What animal has killed the most people ?
",ENTY:animal,ENTY,animal
545,"How many colleges are in Wyoming ?
",NUM:count,NUM,count
546,"What Russian seaport has a name meaning `` Lord of the East '' ?
",LOC:city,LOC,city
547,"Where can stocks be traded on-line ?
",LOC:other,LOC,other
548,"When was the Battle of Hastings ?
",NUM:date,NUM,date
549,"What kind of file has the extension .dbf ?
",ENTY:other,ENTY,other
550,"When did Muhammad live ?
",NUM:date,NUM,date
551,"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?
",ENTY:termeq,ENTY,termeq
552,"What is a wop ?
",DESC:def,DESC,def
553,"Where do rocks come from ?
",DESC:desc,DESC,desc
554,"How do I stop background noise in a car stereo ?
",DESC:manner,DESC,manner
555,"Where do people mountain climb in Nepal ?
",LOC:mount,LOC,mount
556,"What is the best college in the country ?
",HUM:gr,HUM,gr
557,"What is viscosity ?
",DESC:def,DESC,def
558,"What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?
",ENTY:cremat,ENTY,cremat
559,"What are the Nordic nations ?
",LOC:country,LOC,country
560,"Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?
",LOC:other,LOC,other
561,"What U.S. state borders Illinois to the north ?
",LOC:state,LOC,state
562,"Name a film in which Jude Law acted .
",ENTY:cremat,ENTY,cremat
563,"What is the temperature for baking Peachy Oat Muffins ?
",NUM:temp,NUM,temp
564,"What is a fear of bees ?
",ENTY:dismed,ENTY,dismed
565,"What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?
",ENTY:cremat,ENTY,cremat
566,"What is a green bog ?
",DESC:def,DESC,def
567,"Where did the myth of Santa Claus originate ?
",LOC:other,LOC,other
568,"What does a chairbound basophobic fear ?
",ENTY:other,ENTY,other
569,"What city is served by Logan International Airport ?
",LOC:city,LOC,city
570,"What wrestling star became `` The Incredible Hulk '' ?
",HUM:ind,HUM,ind
571,"What attracts tourists to Reims ?
",LOC:other,LOC,other
572,"What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
",ENTY:sport,ENTY,sport
573,"What fastener did Whitcomb Judson patent in 1893 ?
",ENTY:other,ENTY,other
574,"What 's an auberge in France ?
",DESC:def,DESC,def
575,"Who was the star of the 1965 Broadway hit Golden Boy ?
",HUM:ind,HUM,ind
576,"Where is Procter & Gamble based in the U.S. ?
",LOC:other,LOC,other
577,"What army was founded by William Booth and his wife Catherine ?
",HUM:gr,HUM,gr
578,"What does ribavirin consist of ?
",ENTY:substance,ENTY,substance
579,"Name the soft drink that is `` number one in the sun . ''
",ENTY:food,ENTY,food
580,"What is the web address of the list of e-mail addresses of members of the House of Representatives ?
",LOC:other,LOC,other
581,"What was her real name ?
",HUM:ind,HUM,ind
582,"Why are the ears your center of balance ?
",DESC:reason,DESC,reason
583,"Who invented the toothbrush ?
",HUM:ind,HUM,ind
584,"What was the name of that popular song the Creeps sang ?
",ENTY:cremat,ENTY,cremat
585,"Where is the Abominable Snowman said to wander ?
",LOC:other,LOC,other
586,"What is a fear of being alone ?
",ENTY:dismed,ENTY,dismed
587,"How many dots make up the symbol for `` because '' ?
",NUM:count,NUM,count
588,"What do you get by adding Lactobacillus bulgaricus to milk ?
",ENTY:food,ENTY,food
589,"When reading classified ads , what does EENTY : other stand for ?
",ABBR:exp,ABBR,exp
590,"How many hearts does an octopus have ?
",NUM:count,NUM,count
591,"What plant has the largest seed ?
",ENTY:plant,ENTY,plant
592,"What was the only country you were allowed to drive into Israel from in 1979 ?
",LOC:country,LOC,country
593,"What 's approaching when a cyclist shouts : `` Oil '' ?
",ENTY:other,ENTY,other
594,"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?
",HUM:ind,HUM,ind
595,"What kind of sport is often associated with hooligans ?
",ENTY:sport,ENTY,sport
596,"What video game hero do some of his fans call Chomper ?
",HUM:ind,HUM,ind
597,"How many holes are there in a tenpin bowling ball ?
",NUM:count,NUM,count
598,"What is the longest word in the English language ?
",ENTY:word,ENTY,word
599,"In What city or state do the most gay men live in ?
",LOC:other,LOC,other
600,"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?
",HUM:ind,HUM,ind
601,"What is `` the bear of beers '' ?
",ENTY:animal,ENTY,animal
602,"Name the operating system that runs on IBM-compatible machines .
",ENTY:other,ENTY,other
603,"What does the name `` Justin '' mean ?
",DESC:def,DESC,def
604,"What percentage of the body is muscle ?
",NUM:perc,NUM,perc
605,"What color of dry wine should be served with veal roasts and chops ?
",ENTY:color,ENTY,color
606,"What is a golf ball made of ?
",ENTY:substance,ENTY,substance
607,"What is the Amish religion ?
",DESC:def,DESC,def
608,"What does an average daycare provider get paid in New England ?
",NUM:money,NUM,money
609,"What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?
",HUM:gr,HUM,gr
610,"Who played the Ringo Kid in the 1939 film Stagecoach ?
",HUM:ind,HUM,ind
611,"Who died 1 feet from where John F. Kennedy did ?
",HUM:ind,HUM,ind
612,"What is the `` coppertop '' battery ?
",DESC:def,DESC,def
613,"What sign is The Water Carrier the zodiacal symbol for ?
",ENTY:symbol,ENTY,symbol
614,"What animals do you find in the stock market ?
",ENTY:animal,ENTY,animal
615,"What is color ?
",DESC:def,DESC,def
616,"When is the site www.questions.com going to open ?
",NUM:date,NUM,date
617,"What did Shostakovich write for Rostropovich ?
",ENTY:cremat,ENTY,cremat
618,"What first name was Nipsy Russell given at birth ?
",HUM:ind,HUM,ind
619,"How can I get some free technical information on Electric Vehicle ?
",DESC:manner,DESC,manner
620,"Who is the youngest of the Beatles ?
",HUM:ind,HUM,ind
621,"How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?
",DESC:manner,DESC,manner
622,"What is a Jellicle Cat ?
",DESC:def,DESC,def
623,"Where can I find the best free evidence for debate about Russia ?
",LOC:other,LOC,other
624,"What is Bill Gates of Microsoft E-mail address ?
",LOC:other,LOC,other
625,"What is the second hardest substance ?
",ENTY:substance,ENTY,substance
626,"Why did several San Diego schools stop serving apples to students ?
",DESC:reason,DESC,reason
627,"What Russian city boasts the Hermitage Museum ?
",LOC:city,LOC,city
628,"When is Bastille Day ?
",NUM:date,NUM,date
629,"What makes a tornado turn ?
",DESC:reason,DESC,reason
630,"How many shots can a stock M16 hold ?
",NUM:count,NUM,count
631,"What two colors are you blind to if you suffer from protanopia ?
",ENTY:color,ENTY,color
632,"Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?
",DESC:reason,DESC,reason
633,"Who is Coronado ?
",HUM:desc,HUM,desc
634,"What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?
",ENTY:cremat,ENTY,cremat
635,"What is artificial intelligence ?
",DESC:def,DESC,def
636,"What do flatfish eat ?
",ENTY:food,ENTY,food
637,"Who was the first Holy Roman Emperor ?
",HUM:ind,HUM,ind
638,"What can I use to remove the stubborn gummed labels from some diskettes ?
",ENTY:other,ENTY,other
639,"What day of the week sees the most fatal car accidents ?
",NUM:date,NUM,date
640,"What is the origin of the word , magic ?
",DESC:desc,DESC,desc
641,"What sport do you shag flies in ?
",ENTY:sport,ENTY,sport
642,"What is white chocolate ?
",DESC:def,DESC,def
643,"Where is Trinidad ?
",LOC:other,LOC,other
644,"Name the organization that is presided by a Security Council .
",HUM:gr,HUM,gr
645,"Who graced the airwaves with such pearls as `` Do ya lo-o-ove me ? Get naked , baby ! '' ?
",HUM:ind,HUM,ind
646,"What kind of wine is Spumante ?
",ENTY:food,ENTY,food
647,"Who portrayed portly criminologist Carl Hyatt on Checkmate ?
",HUM:ind,HUM,ind
648,"How do you say I love you in Spanish ?
",ENTY:termeq,ENTY,termeq
649,"What does the name Gina mean ?
",DESC:def,DESC,def
650,"What is the most advanced handheld calculator in the world ?
",ENTY:product,ENTY,product
651,"How fast is light ?
",NUM:speed,NUM,speed
652,"What is the belt of low pressure around the equator called ?
",ENTY:termeq,ENTY,termeq
653,"What are shooting stars ?
",DESC:def,DESC,def
654,"Whom did the Chicago Bulls beat in the 1993 championship ?
",HUM:gr,HUM,gr
655,"When was the first American encyclopedia published ?
",NUM:date,NUM,date
656,"What 's the tallest building in New York City ?
",LOC:other,LOC,other
657,"How is Easter Sunday 's date determined ?
",DESC:manner,DESC,manner
658,"What is the Motto for the State of Maryland ?
",DESC:desc,DESC,desc
659,"Who is Desmond Tutu ?
",HUM:desc,HUM,desc
660,"Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?
",LOC:other,LOC,other
661,"Name a tiger that is extinct .
",ENTY:animal,ENTY,animal
662,"How many quarters equal a pound ?
",NUM:count,NUM,count
663,"What kind of books does Fodor 's publish ?
",ENTY:cremat,ENTY,cremat
664,"What are the first names of Rowan and Martin , the stars of TV 's Laugh-In ?
",HUM:ind,HUM,ind
665,"What chapter of the Bible has the most verses ?
",NUM:ord,NUM,ord
666,"Who is the worst US President ever ?
",HUM:ind,HUM,ind
667,"What Asian leader was known as The Little Brown Saint ?
",HUM:ind,HUM,ind
668,"What is the abbreviated expression for the National Bureau of Investigation ?
",ABBR:abb,ABBR,abb
669,"How fast does the fastest car go ?
",NUM:speed,NUM,speed
670,"What is the highest mountain in the world ?
",LOC:mount,LOC,mount
671,"What arch can you see from the Place de la Concorde ?
",LOC:other,LOC,other
672,"Who sings the song `` Drink to me with thine eyes '' by Ben Johnson ?
",HUM:ind,HUM,ind
673,"How long should a person wash their hands before they are clean ?
",NUM:period,NUM,period
